file_name,startup_name,industry,business_model,founder_name,founder_linkedin,extraction_method
ArcPlay Intro Deck.pdf,ArcPlay.ai,AdTech,B2B,KARANDEEP GUJRAL,,gemini
ArcPlay Pitch Deck - Misfits.pdf,ArcPlay.AI,Ad-Tech,B2B,Avi Aggarwal,,gemini
ArcPlay Pitch Deck - Misfits.pdf,ArcPlay.AI,Ad-Tech,B2B,Archit Aggarwal,,gemini
ArcPlay Pitch Deck - Misfits.pdf,ArcPlay.AI,Ad-Tech,B2B,Karandeep Gujral,,gemini
ARKAA PITCH DECK.pdf,Error - No Text,,,,,failed
Armory - March25.pdf,Error - No Text,,,,,failed
Armory.docx.pdf,Armory,DroneDefence,B2B,Amardeep Singh,,gemini
Artfills Pitch Deck- Overview.pdf,Artfills,EdTech,B2C,Bhakti Deshpande,,gemini
Artfills Pitch Deck- Overview.pdf,Artfills,EdTech,B2C,Dhruv Deshmukh,,gemini
Assessfy (Investor Deck).pdf,Assessfy AI,"EdTech, AI/ML",B2B,Bhupesh Daheria,,gemini
Assessfy (Investor Deck).pdf,Assessfy AI,"EdTech, AI/ML",B2B,Eddie Malecki,,gemini
Assistrend - July_25.pdf,ASSISTREND,Youth Wellness,"Freemium, B2B",Ashwin Satheesh,,gemini
Assistrend - July_25.pdf,ASSISTREND,Youth Wellness,"Freemium, B2B",Cyriac Meppuram,,gemini
AstroKun Aug24.pdf,AstroKun,Spirituality Tech,B2C,Ajab Solanki,,gemini
AstroKun Aug24.pdf,AstroKun,Spirituality Tech,B2C,Debraj C,,gemini
AstroKun Seed Pitch Deck 2025.pdf,ASTROKUN,Astrology | Spirituality| Wellness,B2C,Ajab Singh Solanki,,gemini
AstroKun Seed Pitch Deck 2025.pdf,ASTROKUN,Astrology | Spirituality| Wellness,B2C,Debraj D,,gemini
AstroKun Seed Pitch Deck 2025.pdf,ASTROKUN,Astrology | Spirituality| Wellness,B2C,Sukhlal Jat,,gemini
AstroKun Seed Pitch Deck 2025.pdf,ASTROKUN,Astrology | Spirituality| Wellness,B2C,Arijit,,gemini
AstroSight.ai Pitch Deck.pdf,AstroSight.ai,"AI/ML, Astrology, Spiritual Tech",B2C,VIVEK VENKATESH,,gemini
AstroSight.ai Pitch Deck.pdf,AstroSight.ai,"AI/ML, Astrology, Spiritual Tech",B2C,VISHWAMBHAR PANDEY,,gemini
AstroSight.ai Pitch Deck.pdf,AstroSight.ai,"AI/ML, Astrology, Spiritual Tech",B2C,MAHESH,,gemini
Atlabs Intro.pdf,Error - No Text,,,,,failed
Atlas - Jan_25.pdf,Error - No Text,,,,,failed
Atovio Pitch Deck_Dec_24.pdf,Pure Air Everywhere,"Consumer Electronics, HealthTech","D2C, B2B (corporate gifting)",Aditi Agrawal,,gemini
Atovio Pitch Deck_Dec_24.pdf,Pure Air Everywhere,"Consumer Electronics, HealthTech","D2C, B2B (corporate gifting)",Anmay Shahlot,,gemini
Atovio Pitch Deck_Dec_24.pdf,Pure Air Everywhere,"Consumer Electronics, HealthTech","D2C, B2B (corporate gifting)",Siddharth Goel,,gemini
ATT_Investor_Deck_J10-Ash.pdf,A Toddler Thing,"Baby Essentials, Sustainable Fashion, E-commerce","B2C, D2C, B2B",Ashwanth Suresh Babu,https://www.linkedin.com/in/ashwanth-sureshbabu-a8b76716a,gemini
ATT_Investor_Deck_J10-Ash.pdf,A Toddler Thing,"Baby Essentials, Sustainable Fashion, E-commerce","B2C, D2C, B2B",Swathi Sri,,gemini
ATT_Investor_Deck_J10-Ash.pdf,A Toddler Thing,"Baby Essentials, Sustainable Fashion, E-commerce","B2C, D2C, B2B",Ashmita Kannan,,gemini
Attron Automotive - Jan_25.pdf,Attron Automotive Private Limited,"Automotive, Agritech, Defense, Industrial Motors and Controllers",B2B,MOSAM UGEMUGE,,gemini
Attron Automotive - Jan_25.pdf,Attron Automotive Private Limited,"Automotive, Agritech, Defense, Industrial Motors and Controllers",B2B,SHUBHAM PODE,,gemini
Attron Automotive - Jan_25.pdf,Attron Automotive Private Limited,"Automotive, Agritech, Defense, Industrial Motors and Controllers",B2B,CHANDER UDHAY SINGH,,gemini
Attron Automotive - Jan_25.pdf,Attron Automotive Private Limited,"Automotive, Agritech, Defense, Industrial Motors and Controllers",B2B,MOHIT BORKAR,,gemini
AUMHUM-deck.pdf,AUMHUM,HealthTech,B2B2C,AVIRAL PANDEY,,gemini
AUMHUM-deck.pdf,AUMHUM,HealthTech,B2B2C,ANUMEHA,,gemini
AutoTiger_Used CV Marketplace (1).pdf,AutoTiger,Online-to-Offline marketplace for used commercial vehicles,Marketplace,Rishav Jain,,gemini
AutoTiger_Used CV Marketplace (1).pdf,AutoTiger,Online-to-Offline marketplace for used commercial vehicles,Marketplace,Vijay Kumar A,,gemini
AutoTiger_Used CV Marketplace (1).pdf,AutoTiger,Online-to-Offline marketplace for used commercial vehicles,Marketplace,Subhash Patel,,gemini
AutoTiger_Used CV Marketplace (1).pdf,AutoTiger,Online-to-Offline marketplace for used commercial vehicles,Marketplace,Ayush Jain,,gemini
Autoverse - Feb_25.pdf,Autoverse,Auto Commerce,B2B,Mihir Mohan,https://www.linkedin.com/in/mihirmohan/,gemini
Autoverse - Feb_25.pdf,Autoverse,Auto Commerce,B2B,Krishnakumar R,https://www.linkedin.com/in/krishnakumar-r-1a527615/,gemini
Autoverse - Feb_25.pdf,Autoverse,Auto Commerce,B2B,Shiv Soni,https://www.linkedin.com/in/shivsoni/,gemini
AventIQ+Pitch+Deck.pdf,Error,,,,,failed
AVOKE Corporate Pitch Deck.pdf,,,,,,gemini
Avyak Logistics x Pitch Our Way 2 (1) (2) - Umakant Choubey.pdf,Avyak Logistics,Logistics,B2B,Vikram Kumar,,gemini
Avyak Logistics x Pitch Our Way 2 (1) (2) - Umakant Choubey.pdf,Avyak Logistics,Logistics,B2B,Umakant Choubey,,gemini
AWHC__Misfit.pdf,Aesthetic & Wellness Brand for Men,"HealthTech, BeautyTech, Wellness",B2C,,,gemini
awsum pitchdeck april 2025a.pdf,Awsum,Functional Food / Confectionery,D2C,,,gemini
Ayushpay - Feb_25.pdf,Error - No Text,,,,,failed
baepool_final.pdf,BaePool,Social Networking,Freemium,Rajasi Mohadikar,,gemini
Battwheelz Investor Deck V 4.pdf,Battwheelz,Logistics,B2B,Chetan Chaturvedi,,gemini
Battwheelz Investor Deck.pdf,Battwheelz,"Logistics, Electric Vehicles (EV), SaaS",B2B2C,Chetan Chaturvedi,,gemini
Beep Deck VU2FUS.pdf,beep.community,"EdTech, HRTech, SaaS",B2B2C,Saurabh Mangrulkar,,gemini
Beep Deck VU2FUS.pdf,beep.community,"EdTech, HRTech, SaaS",B2B2C,Rakhi Pal,,gemini
Beep Deck VU2FUS.pdf,beep.community,"EdTech, HRTech, SaaS",B2B2C,Yogesh Nogia,,gemini
BeHooked Intro Pitch Deck Sept 2025.pdf,behooked.co,"AI/ML, SaaS, Content Creation",B2C,Yash Gawde,,gemini
BeHooked Intro Pitch Deck Sept 2025.pdf,behooked.co,"AI/ML, SaaS, Content Creation",B2C,Shuvam Mandal,,gemini
Better Nutrition & Green Day.pdf,Greenday,"AgriTech, FoodTech, HealthTech",B2B2C,Pankaj Bhadouria,,gemini
Better Nutrition - Investment Memo (ACLR8).pdf,BetterNutrition,FMCG,"Omni-channel (D2C, marketplace, quick commerce, retail)",Prateek Rastogi,,gemini
Better Nutrition - Investment Memo (ACLR8).pdf,BetterNutrition,FMCG,"Omni-channel (D2C, marketplace, quick commerce, retail)",Aishwarya Bhatnagar,,gemini
Better Nutrition - Investment Memo (ACLR8).pdf,BetterNutrition,FMCG,"Omni-channel (D2C, marketplace, quick commerce, retail)",Vivek Pratap Singh,,gemini
BEYOBO DECK TIE.pdf,BEYOBO,Global Cross border B2B E-commerce,B2B2C,Anil Agrawal,,gemini
BEYOBO DECK TIE.pdf,BEYOBO,Global Cross border B2B E-commerce,B2B2C,Shikha Agrawal,,gemini
BEYOBO DECK TIE.pdf,BEYOBO,Global Cross border B2B E-commerce,B2B2C,Parul Jain,,gemini
BharatAgri _capitalCORN_Deck (1).pdf,Leancrop Technology Solutions Private Limited.,AgriTech,D2F,Siddharth Dialani,,gemini
BharatAgri _capitalCORN_Deck (1).pdf,Leancrop Technology Solutions Private Limited.,AgriTech,D2F,Sai Gole,,gemini
BharatAgri _capitalCORN_Deck (1).pdf,Leancrop Technology Solutions Private Limited.,AgriTech,D2F,Tanmay Krishna,,gemini
BharatAgri _capitalCORN_Deck.pdf,Leancrop Technology Solutions Private Limited.,AgriTech,D2F,Siddharth Dialani,,gemini
BharatAgri _capitalCORN_Deck.pdf,Leancrop Technology Solutions Private Limited.,AgriTech,D2F,Sai Gole,,gemini
BharatAgri _capitalCORN_Deck.pdf,Leancrop Technology Solutions Private Limited.,AgriTech,D2F,Tanmay Krishna,,gemini
Bibha AI - Business Pitch Deck.V2.pdf.pdf,Error - No Text,,,,,failed
BigBasket_Note.pdf,BigBasket,E-commerce/Quick Commerce/Grocery,D2C,Hari Menon,,gemini
BigBasket_Note.pdf,BigBasket,E-commerce/Quick Commerce/Grocery,D2C,Vipul Parekh,,gemini
BigBasket_Note.pdf,BigBasket,E-commerce/Quick Commerce/Grocery,D2C,Abhinay Choudhary,,gemini
BigBasket_Note.pdf,BigBasket,E-commerce/Quick Commerce/Grocery,D2C,Satish Nagarajan,,gemini
BiliAI Pitch Deck.pdf,RETAILERSWAN,FinTech,B2B,IMAM AARONNO MUSABBIR,,gemini
BiliAI Pitch Deck.pdf,RETAILERSWAN,FinTech,B2B,RATUL RASHED NOMAN,,gemini
BiliAI Pitch Deck.pdf,RETAILERSWAN,FinTech,B2B,YASIR AZMAN,,gemini
BingeClip_AI_Investment_Deck.pdf,Error - No Text,,,,,failed
BioCliq_Pitch Deck_capitalCORN (1).pdf,Biocliq Technologies Private Limited,HealthTech,B2B,N Ravi Renga,,gemini
BioCliq_Pitch Deck_capitalCORN (1).pdf,Biocliq Technologies Private Limited,HealthTech,B2B,Dr. Anand Abhik,,gemini
BioCliq_Pitch Deck_capitalCORN (1).pdf,Biocliq Technologies Private Limited,HealthTech,B2B,Dr. Jithunath R,,gemini
BioCliq_Pitch Deck_capitalCORN.pdf,Biocliq Technologies Private Limited,"HealthTech, AI/ML, SaaS",B2B,N Ravi Renga,,gemini
BioCliq_Pitch Deck_capitalCORN.pdf,Biocliq Technologies Private Limited,"HealthTech, AI/ML, SaaS",B2B,Dr. Anand Abhik,,gemini
BioCliq_Pitch Deck_capitalCORN.pdf,Biocliq Technologies Private Limited,"HealthTech, AI/ML, SaaS",B2B,Dr. Jithunath R,,gemini
Bitamin - April25.pdf,NonToxicLiving,Personal Care / Consumer Goods,D2C,Karthik Paladugu,,gemini
Bliss Pitch Deck.pdf,Karo Man Ki Baat,HealthTech,D2C,Harish Goyal,,gemini
Bliss Pitch Deck.pdf,Karo Man Ki Baat,HealthTech,D2C,Saurav Raj,,gemini
Bliss Pitch Deck.pdf,Karo Man Ki Baat,HealthTech,D2C,Aakash,,gemini
BluePenAIPre-SeedPitchDeck15April2025 (2).pdf,BluePen AI,EdTech,B2C,Vaibhav Ghodeswar,,gemini
BluePenAIPre-SeedPitchDeck15April2025 (2).pdf,BluePen AI,EdTech,B2C,Kushagra Kumar,,gemini
Blunav - Pitch (06 Jan 2025).pdf,Airport OS,Airport Operations Software,SaaS,Suseendar Marimuthu,,gemini
Blunav - Pitch (06 Jan 2025).pdf,Airport OS,Airport Operations Software,SaaS,CN Sridharan,,gemini
Blunav - Pitch (06 Jan 2025).pdf,Airport OS,Airport Operations Software,SaaS,Jerry Mathew Karuppusamy,,gemini
Blunav - Pitch (06 Jan 2025).pdf,Airport OS,Airport Operations Software,SaaS,Hanif H,,gemini
Blunav - Pitch (06 Jan 2025).pdf,Airport OS,Airport Operations Software,SaaS,John Samuel Raj,,gemini
BLYP TiE Deck.pdf,ParkMate,Smart Parking,"B2B, B2G",Dhananjaya Bharadwaj,,gemini
BLYP TiE Deck.pdf,ParkMate,Smart Parking,"B2B, B2G",Saloni Malhotra,,gemini
BLYP TiE Deck.pdf,ParkMate,Smart Parking,"B2B, B2G",Abhimanyu Singh,,gemini
BLYP TiE Deck.pdf,ParkMate,Smart Parking,"B2B, B2G",Neeraj Pandey,,gemini
BLYP TiE Deck.pdf,ParkMate,Smart Parking,"B2B, B2G",Ziaul Hoda,,gemini
BMN Pitch Deck.pdf,BUSINESS MARKET NETWORK,B2B Export-Import Marketplace,B2B,Chandan Satyarthi,,gemini
BMN Pitch Deck.pdf,BUSINESS MARKET NETWORK,B2B Export-Import Marketplace,B2B,Suraj Satyarthi,,gemini
BNK.pdf,Error - No Text,,,,,failed
BoldConnect Angel Round Deck.pdf,BoldConnect,SaaS,B2C,Mohit Goyal,,gemini
BoldConnect Angel Round Deck.pdf,BoldConnect,SaaS,B2C,Manohar Jha,,gemini
Bookingjini Pitch Deck (1).pdf,Bookingjini,Hospitality Tech,SaaS,Sibasish Mishra,,gemini
Bookingjini Pitch Deck (1).pdf,Bookingjini,Hospitality Tech,SaaS,Tanmay Kar,,gemini
Bookingjini Pitch Deck (1).pdf,Bookingjini,Hospitality Tech,SaaS,Manoj Pandia,,gemini
Bookingjini Pitch Deck (1).pdf,Bookingjini,Hospitality Tech,SaaS,Gaurav Nandy,,gemini
Bookingjini Pitch Deck (1).pdf,Bookingjini,Hospitality Tech,SaaS,Reena Chopra,,gemini
Bookingjini Pitch Deck (1).pdf,Bookingjini,Hospitality Tech,SaaS,Namrata Swain,,gemini
BookMySport_All-in-one Hub.pdf,BookMySport,Sports Tech,B2C,Deepanshu Jain,,gemini
BookMyWarehouse.pdf,BookMyWarehouse,Logistics,B2B,Shashank Khandelwal,,gemini
BookMyWarehouse.pdf,BookMyWarehouse,Logistics,B2B,Aditya Sharma,,gemini
BookMyWarehouse.pdf,BookMyWarehouse,Logistics,B2B,Rajesh Kumar,,gemini
BookMyWarehouse.pdf,BookMyWarehouse,Logistics,B2B,Balwant Singh,,gemini
BookMyWarehouse.pdf,BookMyWarehouse,Logistics,B2B,Sashindra Singh,,gemini
BookMyWarehouse.pdf,BookMyWarehouse,Logistics,B2B,Alka Singh,,gemini
BookWater Pitch Deck final presentation 3.pdf,BookWater,Water Delivery Platform,"B2B, B2C",,,gemini
Boomm (Pe-seed).pdf,Boomm,FinTech,B2C,Karan Pagare,,gemini
Boomm (Pe-seed).pdf,Boomm,FinTech,B2C,Shubhankar Raj,,gemini
Boomm (Seed).pdf,Boomm,FinTech,B2C,Karan Pagare,,gemini
Boomm (Seed).pdf,Boomm,FinTech,B2C,Shubhankar Raj,,gemini
Booon Investor_s Connect 26 OCT.pdf,Booon,Fashion E-commerce / Q-commerce,B2C,Arun Kumar,,gemini
Boycott Denim - Pitch V26.pdf.pdf,Boycott Denim,Apparel/Fashion/Retail,D2C,SYED INAYATH SUDABI,,gemini
Boycott Denim - Pitch V26.pdf.pdf,Boycott Denim,Apparel/Fashion/Retail,D2C,SUFIYA KHANAM,,gemini
Brainwired Pitch Deck_20241106_163037_0000.pdf,Brainwired,AgriTech,"B2B, B2G, B2C",Sreeshankar S Nair,,gemini
Brainwired Pitch Deck_20241106_163037_0000.pdf,Brainwired,AgriTech,"B2B, B2G, B2C",Romeo P Jerard,,gemini
Brainwired Pitch Deck_20241106_163037_0000.pdf,Brainwired,AgriTech,"B2B, B2G, B2C",Sajil VS,,gemini
Brainwired Pitch Deck_20241106_163037_0000.pdf,Brainwired,AgriTech,"B2B, B2G, B2C",Praveen R,,gemini
Breathe ESG -Jan_25.pdf,Breathe ESG,Sustainability Software / ESG,SaaS,SHAAYAK CHATTERJEE,,gemini
Breathe ESG -Jan_25.pdf,Breathe ESG,Sustainability Software / ESG,SaaS,SAURAV FOUZDAR,,gemini
Breathe ESG -Jan_25.pdf,Breathe ESG,Sustainability Software / ESG,SaaS,KARANTAJ SINGH,,gemini
Breathe_Intro_October.pdf,Breathe,HealthTech,B2C,Rohan Verma,,gemini
Breathe_Intro_October.pdf,Breathe,HealthTech,B2C,Aditya Kaicker,,gemini
Bryckel Deck.pdf,The first AI native document automation for real estate teams,Real Estate AI/ML SaaS,B2B,Sienam Ahuja,,gemini
Bryckel Deck.pdf,The first AI native document automation for real estate teams,Real Estate AI/ML SaaS,B2B,Vinish Makkar,,gemini
Bryckel Deck.pdf,The first AI native document automation for real estate teams,Real Estate AI/ML SaaS,B2B,Vik Lulla,,gemini
BuildGuru Investor Deck_Jun 25.pdf,BuildGuru,Construction Tech,B2B2C,Mayank Khurana,,gemini
BuildGuru Investor Deck_Jun 25.pdf,BuildGuru,Construction Tech,B2B2C,Sonal Singh,,gemini
Bull Agritech_capitalCORN_Pitch Deck_.pdf,21 HECTARES AGROTECH PRIVATE LIMITED,AgriTech,B2B2C,Hit Desai,,gemini
Bull Agritech_capitalCORN_Pitch Deck_.pdf,21 HECTARES AGROTECH PRIVATE LIMITED,AgriTech,B2B2C,Divyajitsinh Chauhan,,gemini
Bull Agritech_capitalCORN_Pitch Deck_.pdf,21 HECTARES AGROTECH PRIVATE LIMITED,AgriTech,B2B2C,Mit Patel,,gemini
Bull Agritech_capitalCORN_Pitch Deck_.pdf,21 HECTARES AGROTECH PRIVATE LIMITED,AgriTech,B2B2C,Ridham Shingala,,gemini
Bummer_Deck_capitalCORN.pdf,Ballr Apparels Private Limited,Apparel,D2C,Sulay Lavsi,,gemini
Business_Deck_Fluxx_Revamp_Exp.pdf,Fluxx,Clean-Tech Automotive / Electric Vehicles,B2C / D2C / Subscription/Rental,Arpana Alka,,gemini
Business_Deck_Fluxx_Revamp_Exp.pdf,Fluxx,Clean-Tech Automotive / Electric Vehicles,B2C / D2C / Subscription/Rental,Jyoti Prakash Sahoo,,gemini
Busyparentsfit.pdf,BusyParentsFit,HealthTech,D2C,Subham Kumar Jalandhara,,gemini
BYG.pdf,Book Your Guy,On-Demand Services / Marketplace,B2C,Bhartesh Bhaskar,,gemini
BYG.pdf,Book Your Guy,On-Demand Services / Marketplace,B2C,Gargi Deori,,gemini
c153c62fe77a-TalentDryft_Your_Strategic_Talent_Partners.pdf,TalentDryft,Recruitment / Staffing / HR Tech,B2B,,,gemini
c59f66556afe-Klick_AI___Deck_.pdf,Klick AI,"SaaS, AI/ML, Telecom Infrastructure",B2B SaaS Subscription,,,gemini
C87469FE-7D72-4354-9F68-867C2AEB3913.pdf,Error - No Text,,,,,failed
Calyb Solving SaaS Adoption - Jan25.pdf,Error - No Text,,,,,failed
CAMA AI - A Apr 25.pdf,Slept R&D,"Robotics, AI/ML, HealthTech, FurnitureTech",D2C,Teja,,gemini
CAMA AI - A Apr 25.pdf,Slept R&D,"Robotics, AI/ML, HealthTech, FurnitureTech",D2C,Mourya,,gemini
CAMA AI - A Apr 25.pdf,Slept R&D,"Robotics, AI/ML, HealthTech, FurnitureTech",D2C,Vaishnavi,,gemini
CAMA AI - A Apr 25.pdf,Slept R&D,"Robotics, AI/ML, HealthTech, FurnitureTech",D2C,Ram Katta,,gemini
CAMA AI - A Apr 25.pdf,Slept R&D,"Robotics, AI/ML, HealthTech, FurnitureTech",D2C,Subhojit Basu,,gemini
CAMA AI - A Apr 25.pdf,Slept R&D,"Robotics, AI/ML, HealthTech, FurnitureTech",D2C,Sagar Tetali,,gemini
CAMA AI - A Apr 25.pdf,Slept R&D,"Robotics, AI/ML, HealthTech, FurnitureTech",D2C,Lalith Kumar,,gemini
Candidate.live _Misfits.pdf,Candidate.live,Campaign Tech,SaaS,Amit Gupta,,gemini
Candidate.live _Misfits.pdf,Candidate.live,Campaign Tech,SaaS,Nayab Ali,,gemini
CanisX Pre Seed Deck.pdf,CanisX,HealthTech,B2C,Chushul Suri,https://www.linkedin.com/in/chushulsuri/,gemini
Car Easy Deck Mar-2025.pdf,CarEasy,Automotive Care Services,B2B and B2C,Vikram Prathap,,gemini
Car Easy Deck Mar-2025.pdf,CarEasy,Automotive Care Services,B2B and B2C,Himanshu Rath,,gemini
Car Easy Deck Mar-2025.pdf,CarEasy,Automotive Care Services,B2B and B2C,Harish Abhichandani,,gemini
CarEasy_Teaser Document.pdf,CarEasy,Automotive Care,B2B and B2C,Vikram Prathap,,gemini
CarEasy_Teaser Document.pdf,CarEasy,Automotive Care,B2B and B2C,Himanshu Rath,,gemini
CareFlick - March25.pdf,Error - No Text,,,,,failed
Cargo First Pitch Deck Latest V1 (4)_compressed.pdf,Cargofirst,AgriTech,B2B,Rohit,,gemini
Cargo First Pitch Deck Latest V1 (4)_compressed.pdf,Cargofirst,AgriTech,B2B,Vinay H,,gemini
CargoFL Pitch Deck - v7.2 - AI - 750K USD (1).pdf,CargoFL,"AI/ML, SaaS, Logistics",B2B,Deepesh Kuruppath,,gemini
CargoFL Pitch Deck - v7.2 - AI - 750K USD (1).pdf,CargoFL,"AI/ML, SaaS, Logistics",B2B,Wasim Khan,,gemini
carnaama.pdf.pdf,Carnaama,"E-commerce, Automotive",B2C,,,gemini
carnaama.pdf.pdf,Carnaama,"E-commerce, Automotive",B2C,,,gemini
Cashvisory Deck_Jun 2025.pdf,Cashvisory,WealthTech,B2B2C,Utkarsh Choudhary,,gemini
Cashvisory Deck_Jun 2025.pdf,Cashvisory,WealthTech,B2B2C,Arpita Sinha,,gemini
Cavli Wireless Investor Presentation - July 2025.pdf,Cavli Wireless,IoT/Cellular IoT Modules,B2B,John Mathew,,gemini
Cavli Wireless Investor Presentation - July 2025.pdf,Cavli Wireless,IoT/Cellular IoT Modules,B2B,Tarun Thomas,,gemini
Cavli Wireless Investor Presentation - July 2025.pdf,Cavli Wireless,IoT/Cellular IoT Modules,B2B,Akhil A Zeeb,,gemini
Cavli Wireless Investor Presentation - July 2025.pdf,Cavli Wireless,IoT/Cellular IoT Modules,B2B,Ajit Thomas,,gemini
cc7da06d3d30-Worldperience_pitch_deck.pdf,Worldperience,Social Media,B2C,Nishit Patel,,gemini
cheQin.ai JUNE 2025.pdf,cheQin.ai,TravelTech,B2C,Venu G,,gemini
Chilltel_-_Pitch_Deck_(21022025).pdf,Chiltel,Appliance Servicing,B2B2C,Sudarshan Raut,,gemini
Chronicles Sports TRL pitchdeck.pdf,CHRONICLES SPORTING EVENTS PVT. LTD.,Sports,B2C,Akshdeep Singh,,gemini
Chronicles Sports TRL pitchdeck.pdf,CHRONICLES SPORTING EVENTS PVT. LTD.,Sports,B2C,Balbir Singh,,gemini
Chronicles Sports TRL pitchdeck.pdf,CHRONICLES SPORTING EVENTS PVT. LTD.,Sports,B2C,Inesh Verma,,gemini
Chronicles Sports TRL pitchdeck.pdf,CHRONICLES SPORTING EVENTS PVT. LTD.,Sports,B2C,Simran S. Shakeel,,gemini
Chronon - July_25.pdf,Error - No Text,,,,,failed
Civil Guruji Deck.pdf,Civil Guruji,EdTech,B2C,Pushpendra Singh,,gemini
Civil Guruji Deck.pdf,Civil Guruji,EdTech,B2C,Priyanka Singh,,gemini
Civil Guruji Deck.pdf,Civil Guruji,EdTech,B2C,Akash Bohare,,gemini
Civil Guruji Deck.pdf,Civil Guruji,EdTech,B2C,Chetan Sharma,,gemini
Civil Guruji Deck.pdf,Civil Guruji,EdTech,B2C,Sudeeep Agarawal,,gemini
Clairco May_23.pptx.pdf,Clairco,Air purification & Energy efficiency for commercial buildings,B2B,Aayush Jha,,gemini
Clairco May_23.pptx.pdf,Clairco,Air purification & Energy efficiency for commercial buildings,B2B,Udayan,,gemini
Cleevo deck_(1224VG).pdf,Cleevo,Home Hygiene,D2C,Karan Shah,,gemini
Cleevo deck_(1224VG).pdf,Cleevo,Home Hygiene,D2C,Mayank Jain,,gemini
Cleevo deck_(1224VG).pdf,Cleevo,Home Hygiene,D2C,Priya Digarse,,gemini
Clevrr AI Investor Deck.pdf,clevrr,"AI, E-commerce, SaaS",B2B,Yuvraj Dagur,https://linkedin.com/in/yuvrajdagur,gemini
Clevrr AI Investor Deck.pdf,clevrr,"AI, E-commerce, SaaS",B2B,Raghav Mishra,,gemini
Code Warranty - Jun_25.pdf,CodeWarranty,"SaaS, Warranty Management",B2B,Nikhil Garg,,gemini
Coffeee - Feb25.pdf,Error - No Text,,,,,failed
CogencyAI - Pitch Deck v6(Demo).pdf,CogencyAI,"AI/ML, SaaS","B2B, B2C",Chirotpal Das,https://www.linkedin.com/in/chirotpal/,gemini
Comify Deck.pdf,Comify,"AI/ML, SaaS, Customer Engagement",B2B,Anurag Srivastava,,gemini
Comify Deck.pdf,Comify,"AI/ML, SaaS, Customer Engagement",B2B,Ashish Saini,,gemini
Complyance Pre Series A.pdf,Complyance,FinTech,B2B,Hari Krishnan,,gemini
Complyance Pre Series A.pdf,Complyance,FinTech,B2B,Meiyappan MM,,gemini
ConformanceX_ PitchDeck.pdf,BrandLaunchX,Pharma/Biotech IT Solutions,B2B SaaS,Abhijit Sengupta,https://www.linkedin.com/in/abhijit-sengupta-74bab14/,gemini
ConformanceX_ PitchDeck.pdf,BrandLaunchX,Pharma/Biotech IT Solutions,B2B SaaS,Ankitash Tulyani,https://www.linkedin.com/in/ankitash-tulyani-566210b/,gemini
ConformanceX_ PitchDeck.pdf,BrandLaunchX,Pharma/Biotech IT Solutions,B2B SaaS,Simon Hall,,gemini
ConformanceX_ PitchDeck.pdf,BrandLaunchX,Pharma/Biotech IT Solutions,B2B SaaS,Robert Glaser,,gemini
Consumable AI_ One Pages (1.5).pdf,Consumable AI,"AI/ML, SaaS, Marketing Tech",B2B,Sandeep,,gemini
Consumable AI_ One Pages (1.5).pdf,Consumable AI,"AI/ML, SaaS, Marketing Tech",B2B,Mayank,,gemini
CONVERSENSE 1-Pager.pdf,CONVERSENSE,AI/ML,B2B,,,gemini
CONVERSENSE 3-page Intro for VS.pdf,Error,,,,,failed
Copy of Ezybuying- 1 (3).pdf,Ezybuying.in,Construction Materials Marketplace,"B2B, B2C",Ashish Arora,,gemini
Copy of Ezybuying- 1 (3).pdf,Ezybuying.in,Construction Materials Marketplace,"B2B, B2C",Yuvraj Arora,,gemini
Cosdata Pitch Deck-2-1.pdf,Cosdata,"AI/ML, SaaS, Data Management",B2B,Nithin Mani,https://www.linkedin.com/in/nithinmani,gemini
Cosdata Pitch Deck-2-1.pdf,Cosdata,"AI/ML, SaaS, Data Management",B2B,Jackson Laskey,,gemini
Coupl®️ Investor Deck.pdf,Coupl,FinTech,B2C,Srinivas Sarkar,,gemini
Coupl®️ Investor Deck.pdf,Coupl,FinTech,B2C,Kushagra Manglik,,gemini
Courtly_Investor Deck_Feb_25.pdf,Courtly,SportsTech,B2C,Tanishq Mahendru,,gemini
Cove_Investor Presentation_Dec 2024_Vf.pdf,Cove Offices,Real Estate,B2B,Sumanth Rao,,gemini
Cove_Investor Presentation_Dec 2024_Vf.pdf,Cove Offices,Real Estate,B2B,Ashwin Balasubramnian,,gemini
Cove_Investor Presentation_Mar 2025_Vf.pdf,Cove Offices,Co-working Spaces / Real Estate Services,B2B2C,Sumanth Rao,,gemini
Cove_Investor Presentation_Mar 2025_Vf.pdf,Cove Offices,Co-working Spaces / Real Estate Services,B2B2C,Ashwin Balasubramnian,,gemini
Cowved gauadharit product pvt ltd _250326_222820.pdf,COWVED GAUADHARIT PRODUCTS PVT LTD,"Ayurveda, Personal Care, Organic Products",B2C,Nikhil Vilas Patil,,gemini
Craev - Jun_25.pdf,Error - No Text,,,,,failed
Cranberry.fit - July_25.pdf,Error - No Text,,,,,failed
Creayzo pre pitch_.pdf,Creazyzo,Influencer Marketing,"B2B, Marketplace",Sumit Kumar,,gemini
Credain - April_25.pdf,Error - No Text,,,,,failed
Credilio Investment Deck.pdf,Credilio Financial Technologies Private Limited,FinTech,B2B2C,Aditya Gupta,,gemini
Credilio Investment Deck.pdf,Credilio Financial Technologies Private Limited,FinTech,B2B2C,Sandeep Ghule,,gemini
